Generation,Mutation_Rate,Crossover_Rate,Selection_Method,Max_Fitness_Session,Finished_Cars,Leader_Gates
1,0.050,0.80,Tournament,4000.76,0,4
2,0.050,0.80,Tournament,4000.88,0,4
3,0.050,0.80,Tournament,4000.88,0,4
4,0.050,0.80,Tournament,4000.88,0,4
5,0.050,0.80,Tournament,5000.69,0,5
6,0.050,0.80,Tournament,5000.69,0,4
7,0.050,0.80,Tournament,5000.69,0,4
8,0.050,0.80,Tournament,5000.69,0,4
9,0.050,0.80,Tournament,5000.69,0,4
10,0.050,0.80,Tournament,5000.69,0,4
11,0.050,0.80,Tournament,5000.69,0,4
12,0.050,0.80,Tournament,5000.69,0,4
13,0.050,0.80,Tournament,5000.69,0,4
14,0.050,0.80,Tournament,5000.69,0,4
15,0.050,0.80,Tournament,9000.79,0,9
16,0.050,0.80,Tournament,9000.79,0,4
17,0.050,0.80,Tournament,9000.79,0,4
18,0.050,0.80,Tournament,9000.79,0,5
19,0.050,0.80,Tournament,9000.79,0,4
20,0.050,0.80,Tournament,9000.79,0,4
21,0.050,0.80,Tournament,9000.79,0,4
22,0.050,0.80,Tournament,9000.79,0,4
23,0.050,0.80,Tournament,9000.79,0,4
24,0.050,0.80,Tournament,9000.79,0,5
25,0.050,0.80,Tournament,9000.79,0,4
26,0.050,0.80,Tournament,9000.79,0,4
27,0.050,0.80,Tournament,9000.79,0,4
28,0.050,0.80,Tournament,9000.79,0,5
29,0.050,0.80,Tournament,9000.79,0,4
30,0.050,0.80,Tournament,9000.82,0,9
31,0.050,0.80,Tournament,9000.82,0,5
32,0.050,0.80,Tournament,9000.82,0,4
33,0.050,0.80,Tournament,9000.86,0,9
34,0.050,0.80,Tournament,9000.86,0,8
35,0.050,0.80,Tournament,9000.86,0,4
36,0.050,0.80,Tournament,9000.86,0,4
37,0.050,0.80,Tournament,9000.86,0,4
38,0.050,0.80,Tournament,9000.86,0,4
39,0.050,0.80,Tournament,9000.86,0,9
40,0.050,0.80,Tournament,9000.86,0,4
41,0.050,0.80,Tournament,9000.86,0,9
42,0.050,0.80,Tournament,9000.86,0,9
43,0.050,0.80,Tournament,9000.86,0,5
44,0.050,0.80,Tournament,9000.86,0,9
45,0.050,0.80,Tournament,9000.87,0,9
46,0.050,0.80,Tournament,9000.87,0,5
47,0.050,0.80,Tournament,9000.87,0,9
48,0.050,0.80,Tournament,9000.87,0,9
49,0.050,0.80,Tournament,9000.87,0,5
50,0.050,0.80,Tournament,10000.63,0,10
51,0.050,0.80,Tournament,10000.63,0,9
52,0.050,0.80,Tournament,10000.63,0,9
53,0.050,0.80,Tournament,10000.68,0,10
54,0.050,0.80,Tournament,10000.68,0,10
55,0.050,0.80,Tournament,10000.68,0,9
56,0.050,0.80,Tournament,10000.68,0,10
57,0.050,0.80,Tournament,12000.86,0,12
58,0.050,0.80,Tournament,12000.86,0,9
59,0.050,0.80,Tournament,12000.86,0,9
60,0.050,0.80,Tournament,12000.86,0,10
61,0.050,0.80,Tournament,12000.86,0,9
62,0.050,0.80,Tournament,12000.86,0,10
63,0.050,0.80,Tournament,12000.86,0,10
64,0.050,0.80,Tournament,12000.86,0,10
65,0.050,0.80,Tournament,12000.86,0,10
66,0.050,0.80,Tournament,12000.86,0,10
67,0.050,0.80,Tournament,12000.86,0,11
68,0.050,0.80,Tournament,12000.86,0,10
69,0.050,0.80,Tournament,12000.86,0,10
70,0.050,0.80,Tournament,12000.86,0,10
71,0.050,0.80,Tournament,516000.00,2,16
72,0.050,0.80,Tournament,516000.00,0,12
73,0.050,0.80,Tournament,516000.00,1,16
74,0.050,0.80,Tournament,516000.00,4,16
75,0.050,0.80,Tournament,516000.00,0,10
76,0.050,0.80,Tournament,516000.00,2,16
77,0.050,0.80,Tournament,516000.00,10,16
78,0.050,0.80,Tournament,516000.00,3,16
79,0.050,0.80,Tournament,516000.00,4,16
80,0.050,0.80,Tournament,516000.00,20,16
81,0.050,0.80,Tournament,516000.00,2,16
82,0.050,0.80,Tournament,516000.00,11,16
83,0.050,0.80,Tournament,516000.00,20,16
84,0.050,0.80,Tournament,516000.00,10,16
85,0.050,0.80,Tournament,516000.00,24,16
86,0.050,0.80,Tournament,516000.00,37,16
87,0.050,0.80,Tournament,516000.00,27,16
88,0.050,0.80,Tournament,516000.00,31,16
89,0.050,0.80,Tournament,516000.00,54,16
90,0.050,0.80,Tournament,516000.00,47,16
91,0.050,0.80,Tournament,516000.00,42,16
92,0.050,0.80,Tournament,516000.00,48,16
93,0.050,0.80,Tournament,516000.00,39,16
94,0.050,0.80,Tournament,516000.00,43,16
95,0.050,0.80,Tournament,516000.00,67,16
96,0.050,0.80,Tournament,516000.00,44,16
97,0.050,0.80,Tournament,516000.00,40,16
98,0.050,0.80,Tournament,516000.00,52,16
99,0.050,0.80,Tournament,516000.00,51,16
100,0.050,0.80,Tournament,516000.00,40,16
